period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
202211,1,True,11/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202211BANCOS.ZIP,2022-11-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202210,1,True,10/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202210BANCOS.ZIP,2022-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202209,1,True,09/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202209BANCOS.ZIP,2022-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202208,1,True,08/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202208BANCOS.ZIP,2022-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202207,1,True,07/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202207BANCOS.ZIP,2022-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202206,1,True,06/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202206BANCOS.ZIP,2022-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202205,1,True,05/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202205BANCOS.ZIP,2022-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202204,1,True,04/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202204BANCOS.ZIP,2022-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202203,1,True,03/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202203BANCOS.ZIP,2022-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202202,1,True,02/2022,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202202BANCOS.ZIP,2022-02-01T03:00:00Z,2026-08-10T23:53:12+00:00,
